Schmettbos;Namenlose Qualitaet;Du WerRegenZone;Carpe Noctem;Die Wuerstel sind fertig;20 zwequschte Zwetschken;Springginkerl;Waterlemons;;;;
The Best Losers;Ratsherrn Allstarts;Pancakesmashers;Die gestiefelten Muskelkater;Volleybaerenbande;Moes Hoes;Winterzauber 4.0;Kimbo und die Bimbos;;;;
Eisen;Wuedsaubande;Sandviper;Netninjas;Black Cat Volleyteam;Haribus;Die vier Fragezeichen;Unblockable;;;;
Foi am Sand;Stieglitz;Scharf aber out;Truthtrain;1 Meter no;SK Lation;Superkalefragelistigexoialigestis;LeitWollHofRyll;;;;
Die Beachboys;Ich und die 3 Hansln;Die supercoolsten Megacoolen;Schluckspecht GmbH;Auf Ex;Die TSVour;Bombig Beerig;Nimm na du i hob na fix;;;;
