45;8;20.02.2019 10:10:00;4;Feld4;Pancakesmashers;Sandviper;Du WerRegenZone;9;23;0;0;0;0
46;8;20.02.2019 10:10:00;5;Feld5;Die gestiefelten Muskelkater;Netninjas;Carpe Noctem;11;16;0;0;0;0
47;8;20.02.2019 10:10:00;6;Feld6;Volleybaerenbande;Black Cat Volleyteam;Die Wuerstel sind fertig;18;17;0;0;0;0
48;8;20.02.2019 10:10:00;1;Feld1;Moes Hoes;Haribus;20 zwequschte Zwetschken;10;18;0;0;0;0
49;9;20.02.2019 10:20:00;3;Feld3;Foi am Sand;Die Beachboys;Schmettbos;16;16;0;0;0;0
50;9;20.02.2019 10:20:00;4;Feld4;Stieglitz;Ich und die 3 Hansln;Namenlose Qualitaet;9;21;0;0;0;0
51;9;20.02.2019 10:20:00;5;Feld5;Scharf aber out;Die supercoolsten Megacoolen;Du WerRegenZone;10;22;0;0;0;0
52;9;20.02.2019 10:20:00;6;Feld6;Truthtrain;Schluckspecht GmbH;Carpe Noctem;21;10;0;0;0;0
53;9;20.02.2019 10:20:00;1;Feld1;1 Meter no;Auf Ex;Die Wuerstel sind fertig;8;23;0;0;0;0
54;9;20.02.2019 10:20:00;2;Feld2;SK Lation;Die TSVour;20 zwequschte Zwetschken;5;30;0;0;0;0
55;10;20.02.2019 10:30:00;4;Feld4;Schmettbos;The Best Losers;Die Beachboys;16;11;0;0;0;0
56;10;20.02.2019 10:30:00;5;Feld5;Namenlose Qualitaet;Ratsherrn Allstarts;Ich und die 3 Hansln;12;18;0;0;0;0
57;10;20.02.2019 10:30:00;6;Feld6;Du WerRegenZone;Pancakesmashers;Die supercoolsten Megacoolen;13;17;0;0;0;0
58;10;20.02.2019 10:30:00;1;Feld1;Carpe Noctem;Die gestiefelten Muskelkater;Schluckspecht GmbH;11;14;0;0;0;0
59;10;20.02.2019 10:30:00;2;Feld2;Die Wuerstel sind fertig;Volleybaerenbande;Auf Ex;13;20;0;0;0;0
60;10;20.02.2019 10:30:00;3;Feld3;20 zwequschte Zwetschken;Moes Hoes;Die TSVour;16;14;0;0;0;0
